category,english,chinese,level,tags
arrogance,Get over yourself.,別太把自己當回事。,intermediate,嗆人;日常
arrogance,The world doesn't revolve around you.,別太自私。,intermediate,嗆人;日常
arrogance,Don't flatter yourself.,別自以為是。,intermediate,嗆人;日常
arrogance,Who do you think you are?,你算老幾？,beginner,嗆人;憤怒
arrogance,Where do you get off?,你哪來的臉皮？你哪來的膽子？,advanced,嗆人;憤怒
arrogance,You think you're all that.,你以為你很行？,intermediate,嗆人;諷刺
give-up,Forget it!,算了，別說了。,beginner,情緒;日常
give-up,Drop it!,別說了。,beginner,情緒;日常
give-up,Call it a day.,到此為止。,beginner,日常;工作
give-up,Never mind.,沒關係。,beginner,日常
give-up,Let it go.,別糾結了。,beginner,情緒;日常
give-up,It's not worth it.,算了。,beginner,情緒;日常
give-up,Forget about it.,沒事的。,beginner,日常
give-up,Don't worry about it.,沒關係，別放在心上。,beginner,日常;安慰
appreciation,You've had a long day.,你今天辛苦了。,beginner,關心;日常
appreciation,Thank you for your hard work.,謝謝你的努力。,beginner,感謝;工作
appreciation,Thank you so much for your hard work.,真的非常謝謝你的努力。,beginner,感謝;工作
appreciation,I want to thank you all for your hard work today.,感謝大家今天的辛苦付出。,intermediate,感謝;工作;正式
appreciation,I appreciate the hustle.,感謝你的拼勁。,intermediate,感謝;口語
appreciation,Much appreciated.,非常感謝。,beginner,感謝;日常
hurt,That's too harsh.,太狠了。,beginner,情緒;日常
hurt,That's too/so mean.,你真壞。,beginner,情緒;日常
hurt,That hurts.,好痛。,beginner,情緒;日常
hurt,That hurts my feelings.,傷我心了。,beginner,情緒;日常
hurt,That stings (a bit).,有點刺。,intermediate,情緒;日常
why-bother,Why bother?,何必呢？,beginner,質疑;日常
why-bother,What's in it for you?,圖啥呢？,intermediate,質疑;日常
why-bother,To what end?,圖什麼結果呢？,advanced,質疑;正式
take-over,I'll take it from here.,你去吧，我來做！,intermediate,日常;工作
take-over,I've got this.,我來就行。,beginner,日常;自信
take-over,Leave it with me.,交給我吧！,beginner,日常;工作
challenge,Try me!,誰怕誰！,beginner,嗆人;挑釁
challenge,Name the time and place.,說時間地點！,intermediate,嗆人;挑釁
challenge,Bring it on!,放馬過來！,beginner,嗆人;挑釁
challenge,Let's see you try!,那你來！,beginner,嗆人;挑釁
challenge,Not on my watch!,門都沒有。,intermediate,拒絕;強硬
challenge,Hard pass!,想都別想！下輩子吧！,beginner,拒絕;口語
take-back,Scratch that.,當我沒說。,intermediate,日常;口語
take-back,Forget I said anything.,當我什麼都沒說。,beginner,日常;口語
take-back,Never mind.,算了。,beginner,日常
timing,It just so happens.,好巧，我正好有。,intermediate,日常;巧合
timing,Perfect timing.,來得好，不如來得巧。,beginner,日常;巧合
timing,It's spot on.,不多不少剛剛好。,intermediate,日常;讚美
timing,Just what the doctor ordered.,及時雨，剛好是我想要的。,advanced,日常;慣用語
misc,It just hit me.,我突然想起來了。,beginner,日常;口語
misc,This is apples and oranges.,這是兩碼子事。,intermediate,日常;慣用語
misc,That's rich.,真諷刺！虧你還有臉說！,advanced,諷刺;嗆人
misc,That sounds like a you problem.,那是你的問題。,intermediate,嗆人;日常
misc,Make it make sense.,給我解釋這到底是怎麼一回事？,intermediate,質疑;口語
misc,Gee, thanks.,我真謝謝你啊！（諷刺語氣）,intermediate,諷刺;口語
misc,Look who finally showed up!,看看誰終於來了！,beginner,諷刺;日常
misc,Don't get your hopes up.,別高興太早。,beginner,日常;警告
misc,Newsflash!,沒聽說過吧！重大新聞。,intermediate,諷刺;口語
social,Who's we?,誰跟你是「我們」？,beginner,嗆人;日常
social,Like you know!,你懂個屁！,beginner,嗆人;口語
social,Speak for yourself.,那是你，別帶上我。,beginner,日常;口語
social,How should I know?,我哪知道啊？,beginner,日常;口語
social,I'll let it slide.,這次就算了！,intermediate,日常;寬容
social,Classic you.,真有你的！,intermediate,日常;諷刺
social,Go take five!,去歇一會兒吧！,intermediate,日常;關心
social,Read the room!,看點眼色行嗎？注意一下氣氛。,advanced,嗆人;日常
social,It is what it is.,沒辦法囉！,beginner,日常;接受
social,So sue me!,我就是做了，你能怎樣？,intermediate,嗆人;口語
social,It's on the house.,本店請客！,intermediate,日常;餐廳
social,Hit me up.,給我發消息聯絡我。,beginner,日常;口語
social,Let's play it by ear.,到時候看情況再說，見機行事！,intermediate,日常;彈性
